"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT3G47295",1.34862083146037e-207,2.55168271965601,0.724,0.224,2.47566326031179e-203,2.2073518255093e-84,2.12693856414742,0.844,0.274,4.05203574608743e-80,2.2073518255093e-84,2.69724166292073e-207,"AT3G47295"
"AT4G23920",6.95364539367492e-200,0.993188519942994,0.536,0.116,1.27648068491691e-195,1.18333740260211e-118,1.87915432825999,0.762,0.17,2.17225246995669e-114,1.18333740260211e-118,1.39072907873502e-199,"AT4G23920"
"AT3G12920",1.67289075748322e-198,0.951134993105464,0.446,0.08,3.07092556351195e-194,7.6015910005698e-49,1.19460593228977,0.719,0.266,1.3954240599746e-44,7.6015910005698e-49,3.34578151496637e-198,"AT3G12920"
"AT2G26250",9.72245347861074e-198,0.813726856330333,0.581,0.113,1.78475078506857e-193,4.5873165652014e-51,0.791588977081035,0.856,0.26,8.42093701874022e-47,4.5873165652014e-51,1.9444906957222e-197,"AT2G26250"
"AT1G01610",2.50303493700798e-195,0.785111670789067,0.44,0.074,4.59482123386554e-191,5.45826234168273e-56,0.719592655955244,0.606,0.16,1.0019732180627e-51,5.45826234168273e-56,5.00606987401609e-195,"AT1G01610"
"AT3G55390",1.27175549541275e-194,0.737923169569015,0.468,0.089,2.33456156292919e-190,7.13354372418196e-58,1.10112186098959,0.713,0.274,1.30950462144808e-53,7.13354372418196e-58,2.54351099082555e-194,"AT3G55390"
"AT4G37870",6.20477893040657e-194,1.19552589756487,0.548,0.119,1.13901126825473e-189,4.05562334503468e-70,1.81201241217615,0.925,0.452,7.44490777448015e-66,4.05562334503468e-70,1.24095578608134e-193,"AT4G37870"
"AT5G07220",2.85078108715188e-192,0.617527757178848,0.38,0.058,5.23317884168471e-188,4.40176520694643e-42,1.37328318144616,0.569,0.188,8.08032039039157e-38,4.40176520694643e-42,5.70156217430389e-192,"AT5G07220"
"AT4G35840",3.18591807258677e-186,0.702875164712694,0.407,0.069,5.84838980584754e-182,4.53309459286141e-21,0.486523603633903,0.556,0.233,8.3214017441157e-17,4.53309459286141e-21,6.37183614517344e-186,"AT4G35840"
"AT5G41810",6.71830567656263e-181,0.780181011431833,0.501,0.1,1.2332793730466e-176,5.02782189287138e-46,1.17489925667909,0.531,0.147,9.22957264874399e-42,5.02782189287138e-46,1.34366113531253e-180,"AT5G41810"
"AT5G22390",6.03925191275295e-165,1.31160162612205,0.759,0.295,1.10862547362406e-160,4.09753198255614e-91,2.01487234063476,0.362,0.042,7.5218394603783e-87,4.09753198255614e-91,1.2078503825506e-164,"AT5G22390"
"AT5G51750",1.54068422673612e-163,1.03184234618735,0.376,0.066,2.82823403501949e-159,1.50585615038283e-49,1.94859731707107,0.775,0.29,2.76430013525777e-45,1.50585615038283e-49,3.08136845347221e-163,"AT5G51750"
"AT4G29020",1.58809281727776e-163,2.43250467966993,0.528,0.121,2.91526198467679e-159,3.52106692839462e-61,2.44488657283568,0.825,0.304,6.463622560454e-57,3.52106692839462e-61,3.17618563455551e-163,"AT4G29020"
"AT4G25620",1.18962848825512e-162,1.24354892605093,0.575,0.162,2.18380101588993e-158,1.21192545683132e-48,1.33331718778567,0.756,0.354,2.22473156110526e-44,1.21192545683132e-48,2.37925697651028e-162,"AT4G25620"
"AT4G37790",6.10197028935685e-160,1.0243590610151,0.63,0.186,1.12013868601724e-155,6.2792953900251e-80,1.42929820236889,0.869,0.307,1.15269025474691e-75,6.2792953900251e-80,1.22039405787138e-159,"AT4G37790"
"AT1G11260",4.80661437927859e-152,1.54743867751463,0.708,0.246,8.82350201604171e-148,7.64342241328831e-75,2.22648270799168,0.644,0.163,1.40310305240734e-70,7.64342241328831e-75,9.61322875855705e-152,"AT1G11260"
"AT3G03900",1.3208970783755e-150,0.830440327255043,0.542,0.151,2.4247707667739e-146,1.91358328809906e-83,0.987717135189454,0.594,0.126,3.51276484196345e-79,1.91358328809906e-83,2.64179415675101e-150,"AT3G03900"
"AT1G53500",1.43685300358584e-143,0.882736079889019,0.505,0.134,2.63763105868253e-139,2.45928131638021e-28,0.744601346083233,0.581,0.264,4.51450271247915e-24,2.45928131638021e-28,2.87370600717169e-143,"AT1G53500"
"AT1G03590",1.44524708414526e-132,0.897880488149746,0.476,0.125,2.65304007236545e-128,2.18171545129416e-34,0.821653573079362,0.787,0.461,4.00497505394069e-30,2.18171545129416e-34,2.89049416829051e-132,"AT1G03590"
